Title,Type,Show Poster Missing,Seasons Missing Poster,Episodes Missing Poster
666 Park Avenue,tv,True,0,0
1000 Babies,tv,True,0,0
1899,tv,True,0,0
Alien: Earth,tv,True,0,0
Andhera,tv,True,0,0
Arrow,tv,True,0,1
Ash vs Evil Dead,tv,True,0,0
Attack on Titan,tv,True,2,3
Better Call Saul,tv,True,0,1
Beyond,tv,True,0,1
Breaking Bad,tv,True,0,0
Cardcaptor Sakura,tv,True,0,1
The Day of the Jackal,tv,True,0,0
Death Note,tv,True,0,0
Demon Slayer: Kimetsu no Yaiba,tv,True,0,0
Dexter: Original Sin,tv,True,0,0
Dhootha,tv,True,0,0
Dominion,tv,True,0,0
Dragon Ball Z,tv,True,0,0
Fantastic Four,tv,True,0,0
FROM,tv,True,0,0
Ghost Adventures,tv,True,0,0
Haven,tv,True,0,0
Heroes,tv,True,1,6
Heroes Reborn,tv,True,0,0
High School of the Dead,tv,True,0,0
KochiKame,tv,True,0,0
Marvel's Inhumans,tv,True,0,0
Marvel's Luke Cage,tv,True,0,0
My Hero Academia,tv,True,0,0
Ninja Kamui,tv,True,0,0
The Outsider (2020),tv,False,0,0
The Penguin,tv,True,0,0
Ranneeti: Balakot & Beyond,tv,True,0,0
Rick and Morty,tv,True,0,0
Rocket Boys,tv,True,0,0
Second Chance (2016),tv,True,0,0
Secret Invasion,tv,True,0,0
She-Hulk: Attorney at Law,tv,True,0,0
Silverpoint,tv,True,0,0
Static Shock,tv,True,0,0
Street Fighter,tv,True,0,0
Supergirl,tv,True,0,0
SurrealEstate,tv,True,0,0
Twelve,tv,True,0,0
Wayward Pines,tv,True,0,0
Wolverine,tv,True,0,0
X-Men,tv,True,0,0
